1.0.1	pṛthvī [17: jsjsylg]
1.1.1	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.2	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.3	anuṣṭubh (1,2: ma-vipulā, 3,4: ma-vipulā)
1.1.4	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.5	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.6	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.7	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.8	anuṣṭubh (1,2: na-vipulā, 3,4: bha-vipulā)
1.1.9	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.10	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.11	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.12	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.13	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.14	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.15	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.1.16	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.1.17	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.18	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.19	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.1.20	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.21	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.22	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.23	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.1.24	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.25	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.26	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.27	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.1.28	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.29	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.30	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.31	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.32	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.33	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.34	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.35	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.36	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.37	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.1.38	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.1.39	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.40	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.41	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
1.1.42	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.1.43	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.44	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.45	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.46	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.47	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.48	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
1.1.49	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.50	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.1.51	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
1.1.52	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.1.53	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.54	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.1.55	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.56	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.57	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.58	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.59	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.60	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.61	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.1.62	anuṣṭubh (1,2: na-vipulā, 3,4: na-vipulā)
1.1.63	āryā (12, 18, 12, 15)
1.1.64	āryā (12, 18, 12, 15)
1.1.65	āryā (12, 18, 12, 15)
1.1.66	vasantatilakā [14: tBjjgg]
1.2.1	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.2.2	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.3	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.4	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.5	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.6	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.7	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.8	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.9	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.10	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.11	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.12	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.13	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.14	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
1.2.15	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.16	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.17	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
1.2.18	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.19	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.20	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.21	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.2.22	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
1.2.23	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.24	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.25	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.26	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
1.2.27	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.28	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.29	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.30	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.31	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
1.2.32	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.33	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.34	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.2.35	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.36	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.37	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.38	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.39	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.40	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.41	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.42	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.2.43	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.2.44	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
