anuṣṭubh (1,2: pathyā, 3,4: pathyā)	506
anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)	29
anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)	21
anuṣṭubh (1,2: ra-vipulā, 3,4: pathyā)	17
anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)	15
upajāti : upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	13
anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)	12
anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)	11
anuṣṭubh (1,2: pathyā, 3,4: ra-vipulā)	8
anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)	8
indravajrā [11: ttjgg]	4
		upajāti triṣṭubh: ajñātam [11: mtjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	3
upendravajrā [11: jtjgg]	3
upajāti triṣṭubh: śālinī [11: mttgg], indravajrā [11: ttjgg]	2
anuṣṭubh (1,2: na-vipulā, 3,4: na-vipulā)	2
		anuṣṭubh (1,2: asamīcīna, 3,4: pathyā)	2
anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā (ma-gaṇa-pūrvikā!))	2
anuṣṭubh (1,2: bha-vipulā, 3,4: na-vipulā)	2
anuṣṭubh (1,2: bha-vipulā (ma-gaṇa-pūrvikā!), 3,4: pathyā)	2
upajāti triṣṭubh: śālinī [11: mttgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	2
anuṣṭubh (1,2: ma-vipulā, 3,4: bha-vipulā)	2
		upajāti triṣṭubh-jagatī-saṃkara?: ajñātam [12: tByy], ajñātam [11: tBtgg], ajñātam [12: ytyy], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: vātormī [11: mBtgg], ajñātam [11: yttgg], ajñātam [11: jBtgg], ajñātam [11: jttgg]	1
		upajāti triṣṭubh-jagatī-saṃkara?: ajñātam [12: tBsy], ajñātam [11: mtjgg], ajñātam [11: tttgl], indravajrā [11: ttjgg]	1
anuṣṭubh (1,2: bha-vipulā (ma-gaṇa-pūrvikā!), 3,4: na-vipulā)	1
		upajāti triṣṭubh: ajñātam [11: tBjgg], ajñātam [11: mtjgg], upendravajrā [11: jtjgg]	1
anuṣṭubh (1,2: na-vipulā, 3,4: ra-vipulā)	1
		anuṣṭubh (1,2: pathyā, 3,4: asamīcīna)	1
		upajāti triṣṭubh: ajñātam [11: jBjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh-jagatī-saṃkara?: ajñātam [11: mtjgl], ajñātam [12: jBsy], ajñātam [11: yttgg], upendravajrā [11: jtjgg]	1
		upajāti triṣṭubh: ajñātam [11: tttgg], ajñātam [11: jBtgg], upendravajrā [11: jtjgg], ajñātam [11: yttgl]	1
		upajāti triṣṭubh: śālinī [11: mttgg], ajñātam [11: jttgg], indravajrā [11: ttjgg]	1
anuṣṭubh (1,2: na-vipulā, 3,4: bha-vipulā)	1
		upajāti triṣṭubh: ajñātam [11: jBtgl], śālinī [11: mttgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: jBtgg], upendravajrā [11: jtjgg]	1
		upajāti triṣṭubh: ajñātam [11: mtjgg], upendravajrā [11: jtjgg]	1
		upajāti triṣṭubh: ajñātam [11: mtjgl], ajñātam [11: yBtgl], ajñātam [11: yBtgg], ajñātam [11: mrjgg]	1
		upajāti triṣṭubh: vātormī [11: mBtgg], ajñātam [11: tBtgl], śālinī [11: mttgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: yBtgg], ajñātam [11: jBtgg], ajñātam [11: mtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: yBtgg], śālinī [11: mttgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: tBtgl], śālinī [11: mttgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: tBtgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: tttgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: yBtgg], ajñātam [11: tttgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: yBtgl], śālinī [11: mttgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: vātormī [11: mBtgg], ajñātam [11: jttgl], ajñātam [11: yttgg], ajñātam [11: jttgg]	1
		upajāti triṣṭubh: ajñātam [11: jBtgg], ajñātam [11: tBtgg], ajñātam [11: jttgg], upendravajrā [11: jtjgg]	1
		upajāti triṣṭubh: ajñātam [11: jBtgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: mtjgl], ajñātam [11: jBtgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: tttgg], ajñātam [11: yttgg], indravajrā [11: ttjgg]	1
		anuṣṭubh (1,2: na-vipulā, 3,4: asamīcīna)	1
		upajāti triṣṭubh: ajñātam [11: yBtgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		indravajrā [11: ttjgg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: tBtgg], upendravajrā [11: jtjgg]	1
anuṣṭubh (1,2: ra-vipulā, 3,4: ra-vipulā)	1
