vasantatilakā [14: tBjjgg]	49
śārdūlavikrīḍitā [19: msjsttg]	32
śikhariṇī [17: ymnsBlg]	22
mālinī [15: nnmyy]	21
mandākrāntā [17: mBnttgg]	14
anuṣṭubh (1,2: pathyā, 3,4: pathyā)	14
hariṇī [17: nsmrslg]	12
āryā (12, 18, 12, 15)	11
indravajrā [11: ttjgg]	8
praharṣiṇī [13: mnjrg]	7
mañjubhāṣiṇī [13: sjsjg]	7
sragdharā [21: mrBnyyy]	6
puṣpitāgrā = [12: nnry] 1,3 + [12: njjrg] 2,4	5
drutavilambita [12: nBBr]	4
pṛthvī [17: jsjsylg]	4
rathoddhatā [11: rnrlg]	3
upajāti : upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	2
		ajñātasamavṛtta [12: tttt] (? 2 eva pādāḥ yuktāḥ)	2
śālinī [11: mttgg]	2
vaṃśastha [12: jtjr]	2
upendravajrā [11: jtjgg]	1
aupacchandasika = [11: ssjgg] 1,3 + [12: sBry] 2,4	1
		upajāti atyaṣṭi: mandākrāntā [17: mBnttgg], ajñātam [17: mtnttgl], ajñātam [17: mBnttlg] atha vā mandākrāntā [17: mBnttgg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātārdhasamavṛtta [nnrrrrrrB, rrrrrrrrr]	1
narkuṭaka [17: njBjjlg]	1
anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)	1
		narkuṭaka [17: njBjjlg] (? 3 eva pādāḥ yuktāḥ)	1
viyoginī = [10: ssjg] 1,3 + [11: sBrlg] 2,4	1
aparavaktra = [11: nnrlg] 1,3 + [12: njjr] 2,4	1
