śārdūlavikrīḍitā [19: msjsttg]	73
śikhariṇī [17: ymnsBlg]	31
anuṣṭubh (1,2: pathyā, 3,4: pathyā)	29
vasantatilakā [14: tBjjgg]	22
		na kiṃcid adhyavasitam	19
		śārdūlavikrīḍitā [19: msjsttg] (? 3 eva pādāḥ yuktāḥ)	14
		śārdūlavikrīḍitā [19: msjsttg] (? 2 eva pādāḥ yuktāḥ)	13
sragdharā [21: mrBnyyy]	12
		vasantatilakā [14: tBjjgg] (? 3 eva pādāḥ yuktāḥ)	9
		śikhariṇī [17: ymnsBlg] (? 3 eva pādāḥ yuktāḥ)	8
upajāti : upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	7
mālinī [15: nnmyy]	7
		śikhariṇī [17: ymnsBlg] (? 2 eva pādāḥ yuktāḥ)	7
āryā (12, 18, 12, 15)	6
mandākrāntā [17: mBnttgg]	6
hariṇī [17: nsmrslg]	5
		sragdharā [21: mrBnyyy] (? 2 eva pādāḥ yuktāḥ)	5
		mālinī [15: nnmyy] (? 2 eva pādāḥ yuktāḥ)	4
		pṛthvī [17: jsjsylg] (? 2 eva pādāḥ yuktāḥ)	3
śālinī [11: mttgg]	3
drutavilambita [12: nBBr]	3
		sragdharā [21: mrBnyyy] (? 3 eva pādāḥ yuktāḥ)	3
anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)	2
vaṃśastha [12: jtjr]	2
		vasantatilakā [14: tBjjgg] (? 2 eva pādāḥ yuktāḥ)	2
anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)	2
rathoddhatā [11: rnrlg]	2
		hariṇī [17: nsmrslg] (? 2 eva pādāḥ yuktāḥ)	2
		pṛthvī [17: jsjsylg] (? 3 eva pādāḥ yuktāḥ)	1
		upendravajrā [11: jtjgg] (? 2 eva pādāḥ yuktāḥ)	1
		hariṇī [17: nsmrslg] (? 3 eva pādāḥ yuktāḥ)	1
pṛthvī [17: jsjsylg]	1
		drutavilambita [12: nBBr] (? 3 eva pādāḥ yuktāḥ)	1
		vaṃśastha [12: jtjr] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti triṣṭubh: ajñātam [11: jtngg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		upajāti triṣṭubh: ajñātam [11: jBjgg], upendravajrā [11: jtjgg], indravajrā [11: ttjgg]	1
		dodhaka [11: BBBgg] (? 3 eva pādāḥ yuktāḥ)	1
anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)	1
puṣpitāgrā = [12: nnry] 1,3 + [12: njjrg] 2,4	1
		ajñātasamavṛtta [9: ysj] (? 2 eva pādāḥ yuktāḥ)	1
indravajrā [11: ttjgg]	1
viyoginī = [10: ssjg] 1,3 + [11: sBrlg] 2,4	1
		ajñātārdhasamavṛtta [ymnsBjg, mBnts]	1
		rathoddhatā [11: rnrlg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātārdhasamavṛtta [msjsttt, Brnmylg]	1
		ajñātasamavṛtta [10: smsg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti atidhṛti: śārdūlavikrīḍitā [19: msjsttg], ajñātam [19: msjstBg], ajñātam [19: msjyttg] atha vā śārdūlavikrīḍitā [19: msjsttg] (? 2 eva pādāḥ yuktāḥ)	1
		upajāti atyaṣṭi: ajñātam [17: mBnBtgg], mandākrāntā [17: mBnttgg], ajñātam [17: tBnttgg] atha vā mandākrāntā [17: mBnttgg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [11: sBrlg] (? 2 eva pādāḥ yuktāḥ)	1
		ajñātasamavṛtta [13: nsrrg] (? 2 eva pādāḥ yuktāḥ)	1
		anuṣṭubh (1,2: pathyā, 3,4: asamīcīna)	1
