AvNir	asoka_avayavinirakarana
NBhū	bhasarvajna_nyayabhusana
PPad	candrakirti_prasannapada
VSṬ	candrananda_vaisesikasutratika
HB	dharmakirti_hetubindu
NB	dharmakirti_nyayabindu
PV	dharmakirti_pramanavartika
PVSV	dharmakirti_pramanavartikasvavrtti
PVin	dharmakirti_pramanaviniscaya
SAS	dharmakirti_sambandhapariksa
SP	dharmakirti_samtanantarasiddhi
VN	dharmakirti_vadanyaya
NBṬ	dharmottara_nyayabindutika
AP	dignaga_alambanapariksavrtti
PSV	dignaga_pramanasamuccayavrtti
NS	gautama_nyayasutra
SK	isvarakrsna_samkhyakarika
MS	jaimini_mimamsasutra
NyKal	jayantabhatta_nyayakalika
NM	jayantabhatta_nyayamanjari
TUS	jayarasi_tattvopaplavasimha
PSṬ	jinendrabuddhi_pramanasamuccayatika
VS	kanada_vaisesikasutra
ŚV	kumarila_slokavarttika
MMK	nagarjuna_mulamadhyamakakarika
ViVy	nagarjuna_vigrahavyavartani
YSBh	patanjali_yogasutrabhasya
PVA	prajnakaragupta_pramanavartikalamkara
PDhS	prasastapada_padarthadharmasamgraha
YD	samkhya_yuktidipika
NPS	sankarasvamin_nyayapravesakasutra
TriṃśBh	sthiramati_trimsikabhasya
ŚVK	sucaritamisra_slokavarttikakasika
NV	uddyotakara_nyayavartika
ViṃśV	vasubandhu_vimsikavrtti
NBh	vatsyayana_nyayabhasya
VyV	vyomasiva_vyomavati
